2020-05-24 14:09:28: == 同步开始由 User Command
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/ipv6.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/ipv6.h' (525)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/jiffies.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/jiffies.h' (774)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/kconfig.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/kconfig.h' (1,777)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/kernel.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/kernel.h' (1,664)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/list.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/list.h' (950)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/mpls.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/mpls.h' (1,110)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/net.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/net.h' (1,985)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/netdev_features.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/netdev_features.h' (2,004)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/netdevice.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/netdevice.h' (7,289)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/netfilter_ipv6.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/netfilter_ipv6.h' (1,188)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/netlink.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/netlink.h' (420)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/openvswitch.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/openvswitch.h' (30,476)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/percpu.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/percpu.h' (721)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/poison.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/poison.h' (248)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/random.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/random.h' (313)
